"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Lonicera caerulea","Blaue Heckenkirsche","Staudengärtnerei StaudenSpatz",NA
"Lotus maritimus","Gelbe Spargelerbse","Staudengärtnerei StaudenSpatz",NA
"Lychnis viscaria","Pechnelke","Staudengärtnerei StaudenSpatz",NA
"Lysimachia thyrsiflora","Strauß-Gilbweiderich","Staudengärtnerei StaudenSpatz",NA
"Lythrum hyssopifolia","Ysopblättriger Weiderich","Staudengärtnerei StaudenSpatz",NA
"Malus sylvestris","Wildapfel,Holzapfel","Staudengärtnerei StaudenSpatz",NA
"Marrubium vulgare","Gewöhnlicher Andorn,Mäuseohr","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/gewoehnlicher-andorn-marrubium-vulgare.html"
"Matteuccia struthiopteris","Deutscher Straußenfarn","Staudengärtnerei StaudenSpatz",NA
"Melampyrum arvense","Acker-Wachtelweizen","Staudengärtnerei StaudenSpatz",NA
"Melica ciliata","Wimper-Perlgras","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/wimper-perlgras-melica-ciliata.html"
"Melica transsilvanica","Siebenbürgisches Perlgras","Staudengärtnerei StaudenSpatz",NA
"Mentha pulegium","Polei-Minze","Staudengärtnerei StaudenSpatz",NA
"Menyanthes trifoliata","Fieberklee,Bitterklee","Staudengärtnerei StaudenSpatz",NA
"Mespilus germanica","Echte Mispel","Staudengärtnerei StaudenSpatz",NA
"Meum athamanticum","Bärwurz","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/baerwurz-meum-athamanticum.html"
"Misopates orontium","Acker-Löwenmaul","Staudengärtnerei StaudenSpatz",NA
"Moehringia muscosa","Moos-Nabelmiere","Staudengärtnerei StaudenSpatz",NA
"Muscari botryoides","Kleine Traubenhyazinthe,Straußhyazinthe","Staudengärtnerei StaudenSpatz",NA
"Muscari comosum","Schopfige Traubenhyazinthe","Staudengärtnerei StaudenSpatz",NA
"Muscari neglectum","Weinbergs-Träubel","Staudengärtnerei StaudenSpatz",NA
"Myosotis rehsteineri","Rehsteiners Vergissmeinnicht,Bodensee-Vergissmeinnicht","Staudengärtnerei StaudenSpatz",NA
"Myricaria germanica","Deutsche Tamariske,Rispelstrauch","Staudengärtnerei StaudenSpatz",NA
"Myriophyllum verticillatum","Quirliges Tausendblatt","Staudengärtnerei StaudenSpatz",NA
"Nepeta cataria","Katzenminze","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/echte-katzenminze-nepeta-cataria.html"
"Nepeta cataria","Katzenminze","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/zitronen-katzenminze-nepeta-cataria-ssp-citriodora.html"
"Nigella arvensis","Acker-Schwarzkümmel","Staudengärtnerei StaudenSpatz",NA
