"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Digitalis grandiflora","Großblütiger Fingerhut","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/digitalis-grandiflora-saatgut-kaufen.html"
"Digitalis grandiflora","Großblütiger Fingerhut","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/digitalis-grandiflora-635-wildpflanze-naturnah.html"
"Digitalis lutea","Gelber Fingerhut","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/digitalis-lutea-saatgut-kaufen.html"
"Digitalis lutea","Gelber Fingerhut","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/digitalis-lutea-636-wildpflanze-naturnah.html"
"Draba aizoides","Immergrünes Felsenblümchen,Hungerblümchen","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/draba-aizoides-wildpflanze-naturnah.html"
"Dryopteris cristata","Kammfarn","Hof Berg-Garten",NA
"Echinocystis lobata","Stachelgurke,Gelappte Stachelgurke, Igelgurke","Hof Berg-Garten",NA
"Eleocharis acicularis","Nadel-Sumpfbinse","Hof Berg-Garten",NA
"Empetrum nigrum","Schwarze Krähenbeere","Hof Berg-Garten",NA
"Epilobium palustre","Sumpf-Weidenröschen","Hof Berg-Garten",NA
"Equisetum variegatum","Bunter Schachtelhalm","Hof Berg-Garten",NA
"Erica carnea","Schnee-Heide","Hof Berg-Garten",NA
"Eriophorum angustifolium","Schmalblättriges Wollgras","Hof Berg-Garten",NA
"Eriophorum latifolium","Breitblättriges Wollgras","Hof Berg-Garten",NA
"Eriophorum vaginatum","Scheidiges Wollgras","Hof Berg-Garten",NA
"Eryngium campestre","Feld-Mannstreu","Hof Berg-Garten",NA
"Erysimum cheiri","Goldlack","Hof Berg-Garten",NA
"Erysimum crepidifolium","Bleicher Schöterich","Hof Berg-Garten",NA
"Erysimum odoratum","Duft-Schöterich","Hof Berg-Garten",NA
"Euphorbia esula","Esels-Wolfsmilch","Hof Berg-Garten",NA
"Euphorbia palustris","Sumpf-Wolfsmilch","Hof Berg-Garten",NA
"Euphorbia seguieriana","Steppen-Wolfsmilch","Hof Berg-Garten",NA
"Fagopyrum tataricum","Tatarischer Buchweizen,Falscher Buchweizen","Hof Berg-Garten",NA
"Festuca amethystina","Amethyst-Schwingel","Hof Berg-Garten",NA
"Festuca filiformis","Haar-Schafschwingel","Hof Berg-Garten",NA
"Filipendula vulgaris","Kleines Mädesüß,Knollen-Rüsterstaude, Knolliger Geißbart","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/filipendula-vulgaris-wildpflanze-naturnah.html"
"Fragaria moschata","Zimt-Erdbeere,Moschus-Erdbeere","Hof Berg-Garten",NA
"Fritillaria meleagris","Schachbrettblume,Perlhuhn-Schachbrettblume","Hof Berg-Garten",NA
"Fumana procumbens","Gewöhnliches Nadelröschen","Hof Berg-Garten",NA
"Gagea villosa","Acker-Gelbstern,Acker-Goldstern","Hof Berg-Garten",NA
"Galeopsis ladanum","Breitblättriger Hohlzahn","Hof Berg-Garten",NA
"Galeopsis segetum","Saat-Hohlz","Hof Berg-Garten",NA
"Galium boreale","Nordisches Labkraut","Hof Berg-Garten",NA
"Galium glaucum","Blaugrünes Labkraut","Hof Berg-Garten",NA
"Galium pumilum","Heide-Labkraut,Triften-Labkraut, Zierliches Labkraut","Hof Berg-Garten",NA
"Genista germanica","Deutscher Ginster","Hof Berg-Garten",NA
"Genista pilosa","Sand-Ginster,Haar-Ginster","Hof Berg-Garten",NA
"Gentiana asclepiadea","Schwalbenwurz-Enzian","Hof Berg-Garten",NA
"Gentiana cruciata","Kreuz-Enzian,Gentiana cruciata subsp. cruciata","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/gentiana-cruciata-saatgut-kaufen.html"
"Gentiana cruciata","Kreuz-Enzian,Gentiana cruciata subsp. cruciata","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/gentiana-cruciata-665-wildpflanze-naturnah.html"
"Gentiana lutea","Gelber Enzian","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/gentiana-lutea-saatgut-kaufen.html"
"Gentiana lutea","Gelber Enzian","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/gentiana-lutea-666-wildpflanze-naturnah.html"
"Gentiana pneumonanthe","Lungen-Enzian","Hof Berg-Garten",NA
"Gentiana verna","Frühlings-Enzian,Schusternagerl, Himmelsbläueli","Hof Berg-Garten",NA
"Gentianella germanica","Deutscher Kranzenzian,Deutscher Fransenenzian","Hof Berg-Garten",NA
"Gladiolus palustris","Sumpf-Siegwurz,Sumpf-Gladiole","Hof Berg-Garten",NA
"Globularia punctata","Echte Kugelblume","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/globularia-punctata-675-wildpflanze-naturnah.html"
"Gratiola officinalis","Gottes-Gnadenkraut,Sumpfgnadenkraut","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/gratiola-officinalis-wildpflanze-naturnah.html"
"Gymnadenia conopsea","Große Händelwurz,Mücken-Händelwurz","Hof Berg-Garten",NA
"Gypsophila muralis","Mauer-Gipskraut,Acker-Gipskraut","Hof Berg-Garten",NA
"Gypsophila repens","Kriechendes Gipskraut","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/gypsophila-repens-wildpflanze-naturnah.html"
"Helianthemum canum","Graues Sonnenröschen","Hof Berg-Garten",NA
"Helianthemum nummularium","Gelbes Sonnenröschen,Gewöhnliches Sonnenröschen","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/helianthemum-nummularium-saatgut-kaufen.html"
"Helianthemum nummularium","Gelbes Sonnenröschen,Gewöhnliches Sonnenröschen","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/helianthemum-nummularium-681-wildpflanze-naturnah.html"
"Helichrysum arenarium","Sand-Strohblume","Hof Berg-Garten",NA
"Helleborus viridis","Grüne Niewswurz","Hof Berg-Garten",NA
"Hieracium bauhini","Ungarisches Habichtskraut","Hof Berg-Garten",NA
"Hieracium hoppeanum","Hoppes Habichtskraut","Hof Berg-Garten",NA
"Hieracium lactucella","Geöhrtes Habichtskraut","Hof Berg-Garten",NA
"Hierochloe odorata","Duftendes Mariengras","Hof Berg-Garten",NA
"Hippocrepis emerus","Strauchwicke,Strauchkronwicke","Hof Berg-Garten",NA
"Hippuris vulgaris","Gewöhnlicher Tannenwedel,Gemeiner Tannenwedel","Hof Berg-Garten",NA
"Homogyne alpina","Gewöhnlicher Alpenlattich","Hof Berg-Garten",NA
"Hottonia palustris","Wasserfeder,Wasserprimel","Hof Berg-Garten",NA
"Hydrocharis morsus-ranae","Europäischer Froschbiss","Hof Berg-Garten",NA
"Hydrocotyle vulgaris","Gewöhnlicher Wassernabel","Hof Berg-Garten",NA
"Hyoscyamus niger","Schwarzes Bilsenkraut","Hof Berg-Garten",NA
"Hypochaeris glabra","Kahles Ferkelkraut","Hof Berg-Garten",NA
"Hypochaeris maculata","Geflecktes Ferkelkraut","Hof Berg-Garten",NA
