"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Leucojum vernum","Märzenbecher","Blauetikett Bornträger",NA
"Linaria alpina","Alpen-Leinkraut","Blauetikett Bornträger",NA
"Linum flavum","Gelber Lein","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/linum-flavum-gelber-staudenlein.html"
"Linum flavum","Gelber Lein","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/linum-flavum-gelber-lein-6176.html"
"Linum perenne","Blauer Lein,Dauerlein, Stauden-Lein","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/linum-perenne-blauer-staudenlein.html"
"Linum tenuifolium","Schmalblättriger Lein","Blauetikett Bornträger",NA
"Lithospermum officinale","Echter Steinsame","Blauetikett Bornträger",NA
"Lolium temulentum","Taumel-Lolch,Rauschgras, Schwindelweizen,","Blauetikett Bornträger",NA
"Lonicera caerulea","Blaue Heckenkirsche","Blauetikett Bornträger",NA
"Lotus maritimus","Gelbe Spargelerbse","Blauetikett Bornträger",NA
"Lychnis viscaria","Pechnelke","Blauetikett Bornträger",NA
"Lysimachia thyrsiflora","Strauß-Gilbweiderich","Blauetikett Bornträger",NA
"Lythrum hyssopifolia","Ysopblättriger Weiderich","Blauetikett Bornträger",NA
"Malus sylvestris","Wildapfel,Holzapfel","Blauetikett Bornträger",NA
"Marrubium vulgare","Gewöhnlicher Andorn,Mäuseohr","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/marrubium-vulgare-andorn.html"
"Matteuccia struthiopteris","Deutscher Straußenfarn","Blauetikett Bornträger",NA
"Melampyrum arvense","Acker-Wachtelweizen","Blauetikett Bornträger",NA
"Melica ciliata","Wimper-Perlgras","Blauetikett Bornträger",NA
"Melica transsilvanica","Siebenbürgisches Perlgras","Blauetikett Bornträger",NA
"Mentha pulegium","Polei-Minze","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/mentha-pulegium-poleiminze.html"
"Menyanthes trifoliata","Fieberklee,Bitterklee","Blauetikett Bornträger",NA
"Mespilus germanica","Echte Mispel","Blauetikett Bornträger",NA
"Meum athamanticum","Bärwurz","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/meum-athamanticum-b-rwurz.html"
"Misopates orontium","Acker-Löwenmaul","Blauetikett Bornträger",NA
"Moehringia muscosa","Moos-Nabelmiere","Blauetikett Bornträger",NA
"Muscari botryoides","Kleine Traubenhyazinthe,Straußhyazinthe","Blauetikett Bornträger",NA
"Muscari comosum","Schopfige Traubenhyazinthe","Blauetikett Bornträger",NA
"Muscari neglectum","Weinbergs-Träubel","Blauetikett Bornträger",NA
