"Species","Producer","URL"
"Empetrum nigrum","Rieger-Hofmann",NA
"Epilobium dodonaei","Rieger-Hofmann",NA
"Epilobium fleischeri","Rieger-Hofmann",NA
"Epilobium palustre","Rieger-Hofmann",NA
"Epilobium parviflorum","Rieger-Hofmann",NA
"Epilobium roseum","Rieger-Hofmann",NA
"Epilobium tetragonum","Rieger-Hofmann",NA
"Epipactis helleborine","Rieger-Hofmann",NA
"Equisetum fluviatile","Rieger-Hofmann",NA
"Equisetum hyemale","Rieger-Hofmann",NA
"Equisetum palustre","Rieger-Hofmann",NA
"Equisetum variegatum","Rieger-Hofmann",NA
"Erica carnea","Rieger-Hofmann",NA
"Erica tetralix","Rieger-Hofmann",NA
"Eriophorum angustifolium","Rieger-Hofmann",NA
"Eriophorum latifolium","Rieger-Hofmann",NA
"Eriophorum vaginatum","Rieger-Hofmann",NA
"Eryngium campestre","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
"Eryngium maritimum","Rieger-Hofmann",NA
"Eryngium planum","Rieger-Hofmann",NA
"Erysimum cheiranthoides","Rieger-Hofmann",NA
"Erysimum cheiri","Rieger-Hofmann",NA
"Erysimum crepidifolium","Rieger-Hofmann",NA
"Erysimum odoratum","Rieger-Hofmann",NA
"Euphorbia cyparissias","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
"Euphorbia dulcis","Rieger-Hofmann",NA
"Euphorbia epithymoides","Rieger-Hofmann",NA
"Euphorbia esula","Rieger-Hofmann",NA
"Euphorbia palustris","Rieger-Hofmann",NA
"Euphorbia seguieriana","Rieger-Hofmann",NA
"Euphorbia verrucosa","Rieger-Hofmann",NA
"Euphrasia stricta","Rieger-Hofmann",NA
"Fagopyrum tataricum","Rieger-Hofmann",NA
"Falcaria vulgaris","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
"Fallopia dumetorum","Rieger-Hofmann",NA
"Festuca altissima","Rieger-Hofmann",NA
"Festuca amethystina","Rieger-Hofmann",NA
"Festuca filiformis","Rieger-Hofmann",NA
"Festuca ovina","Rieger-Hofmann",NA
"Festuca valesiaca","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Filipendula vulgaris","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
"Fragaria moschata","Rieger-Hofmann",NA
"Fragaria viridis","Rieger-Hofmann",NA
"Fraxinus excelsior","Rieger-Hofmann",NA
"Fritillaria meleagris","Rieger-Hofmann",NA
"Fumana procumbens","Rieger-Hofmann",NA
"Gagea lutea","Rieger-Hofmann",NA
"Gagea villosa","Rieger-Hofmann",NA
"Galanthus nivalis","Rieger-Hofmann",NA
"Galatella linosyris","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
"Galeobdolon luteum","Rieger-Hofmann",NA
"Galeopsis angustifolia","Rieger-Hofmann",NA
"Galeopsis ladanum","Rieger-Hofmann",NA
"Galeopsis segetum","Rieger-Hofmann",NA
"Galeopsis speciosa","Rieger-Hofmann",NA
"Galium boreale","Rieger-Hofmann",NA
"Galium glaucum","Rieger-Hofmann",NA
"Galium odoratum","Rieger-Hofmann",NA
"Galium palustre","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
"Galium pumilum","Rieger-Hofmann",NA
"Galium saxatile","Rieger-Hofmann",NA
"Galium sylvaticum","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
"Galium uliginosum","Rieger-Hofmann",NA
"Galium verum","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
"Genista anglica","Rieger-Hofmann",NA
"Genista germanica","Rieger-Hofmann",NA
"Genista pilosa","Rieger-Hofmann",NA
"Genista sagittalis","Rieger-Hofmann",NA
"Genista tinctoria","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
"Gentiana acaulis","Rieger-Hofmann",NA
"Gentiana asclepiadea","Rieger-Hofmann",NA
"Gentiana cruciata","Rieger-Hofmann",NA
