State,Species,Endangerment,Light,Water,Nutrients,PH-value,Soil,Freezing tolerance,Maximale height,Flower color,Bees,Butterflies,Birds,Mammals,Roof,Balcony,h_binned
Saarland,Scandix pecten-veneris,0,NA,moist to dry,intermediate,NA,permeable to loamy,NA,30,white,NA,NA,NA,NA,NA,NA,0-40 cm
Saxony,Scandix pecten-veneris,0,NA,moist to dry,intermediate,NA,permeable to loamy,NA,30,white,NA,NA,NA,NA,NA,NA,0-40 cm
Saxony-Anhalt,Scandix pecten-veneris,1,NA,moist to dry,intermediate,NA,permeable to loamy,NA,30,white,NA,NA,NA,NA,NA,NA,0-40 cm
Schleswig-Holstein,Scandix pecten-veneris,1,NA,moist to dry,intermediate,NA,permeable to loamy,NA,30,white,NA,NA,NA,NA,NA,NA,0-40 cm
Thuringia,Scandix pecten-veneris,2,NA,moist to dry,intermediate,NA,permeable to loamy,NA,30,white,NA,NA,NA,NA,NA,NA,0-40 cm
Berlin,Schoenoplectus lacustris,3,Sun to Half-shade,wet,N-rich,NA,loamy,to -34 °C (to Climatic zone 4),300,brown,NA,Butterflies (2 spp.),NA,NA,NA,NA,100+ cm
Hamburg,Schoenoplectus lacustris,2,Sun to Half-shade,wet,N-rich,NA,loamy,to -34 °C (to Climatic zone 4),300,brown,NA,Butterflies (2 spp.),NA,NA,NA,NA,100+ cm
Hesse,Schoenoplectus lacustris,V,Sun to Half-shade,wet,N-rich,NA,loamy,to -34 °C (to Climatic zone 4),300,brown,NA,Butterflies (2 spp.),NA,NA,NA,NA,100+ cm
Saarland,Schoenoplectus lacustris,V,Sun to Half-shade,wet,N-rich,NA,loamy,to -34 °C (to Climatic zone 4),300,brown,NA,Butterflies (2 spp.),NA,NA,NA,NA,100+ cm
Baden-Württemberg,Schoenoplectus tabernaemontani,V,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,100+ cm
Bavaria,Schoenoplectus tabernaemontani,2,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,100+ cm
Berlin,Schoenoplectus tabernaemontani,V,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,100+ cm
Hamburg,Schoenoplectus tabernaemontani,3,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,100+ cm
Hesse,Schoenoplectus tabernaemontani,3,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,100+ cm
Rhineland-Palatinate,Schoenoplectus tabernaemontani,3,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,100+ cm
Thuringia,Schoenoplectus tabernaemontani,0,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,100+ cm
Baden-Württemberg,Schoenus nigricans,2,Sun to Half-shade,wet,N-poor,alkaline,loamy,NA,50,brown,NA,NA,NA,NA,NA,NA,40-60 cm
Bavaria,Schoenus nigricans,2,Sun to Half-shade,wet,N-poor,alkaline,loamy,NA,50,brown,NA,NA,NA,NA,NA,NA,40-60 cm
Brandenburg,Schoenus nigricans,0,Sun to Half-shade,wet,N-poor,alkaline,loamy,NA,50,brown,NA,NA,NA,NA,NA,NA,40-60 cm
Bremen/Lower Saxony,Schoenus nigricans,3,Sun to Half-shade,wet,N-poor,alkaline,loamy,NA,50,brown,NA,NA,NA,NA,NA,NA,40-60 cm
Hamburg,Schoenus nigricans,0,Sun to Half-shade,wet,N-poor,alkaline,loamy,NA,50,brown,NA,NA,NA,NA,NA,NA,40-60 cm
Hesse,Schoenus nigricans,0,Sun to Half-shade,wet,N-poor,alkaline,loamy,NA,50,brown,NA,NA,NA,NA,NA,NA,40-60 cm
Mecklenburg-Western Pomerania,Schoenus nigricans,1,Sun to Half-shade,wet,N-poor,alkaline,loamy,NA,50,brown,NA,NA,NA,NA,NA,NA,40-60 cm
North Rhine-Westphalia,Schoenus nigricans,1,Sun to Half-shade,wet,N-poor,alkaline,loamy,NA,50,brown,NA,NA,NA,NA,NA,NA,40-60 cm
Rhineland-Palatinate,Schoenus nigricans,2,Sun to Half-shade,wet,N-poor,alkaline,loamy,NA,50,brown,NA,NA,NA,NA,NA,NA,40-60 cm
Saxony-Anhalt,Schoenus nigricans,R,Sun to Half-shade,wet,N-poor,alkaline,loamy,NA,50,brown,NA,NA,NA,NA,NA,NA,40-60 cm
Schleswig-Holstein,Schoenus nigricans,1,Sun to Half-shade,wet,N-poor,alkaline,loamy,NA,50,brown,NA,NA,NA,NA,NA,NA,40-60 cm
Thuringia,Schoenus nigricans,3,Sun to Half-shade,wet,N-poor,alkaline,loamy,NA,50,brown,NA,NA,NA,NA,NA,NA,40-60 cm
Bavaria,Scilla bifolia,3,Sun to Shade,moist,N-rich,NA,permeable to loamy,to -23 °C (to Climatic zone 6),20,blue,Bees,NA,NA,NA,NA,yes,0-40 cm
North Rhine-Westphalia,Scilla bifolia,R,Sun to Shade,moist,N-rich,NA,permeable to loamy,to -23 °C (to Climatic zone 6),20,blue,Bees,NA,NA,NA,NA,yes,0-40 cm
Saxony-Anhalt,Scilla bifolia,2,Sun to Shade,moist,N-rich,NA,permeable to loamy,to -23 °C (to Climatic zone 6),20,blue,Bees,NA,NA,NA,NA,yes,0-40 cm
Thuringia,Scilla bifolia,V,Sun to Shade,moist,N-rich,NA,permeable to loamy,to -23 °C (to Climatic zone 6),20,blue,Bees,NA,NA,NA,NA,yes,0-40 cm
Berlin,Scirpus sylvaticus,V,Sun to Half-shade,wet,intermediate,acidic,permeable to humus,to -23 °C (to Climatic zone 6),100,brown,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Schleswig-Holstein,Scirpus sylvaticus,V,Sun to Half-shade,wet,intermediate,acidic,permeable to humus,to -23 °C (to Climatic zone 6),100,brown,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Scleranthus perennis,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bavaria,Scleranthus perennis,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berlin,Scleranthus perennis,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bremen/Lower Saxony,Scleranthus perennis,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hamburg,Scleranthus perennis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hesse,Scleranthus perennis,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mecklenburg-Western Pomerania,Scleranthus perennis,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Rhine-Westphalia,Scleranthus perennis,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxony,Scleranthus perennis,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxony-Anhalt,Scleranthus perennis,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schleswig-Holstein,Scleranthus perennis,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thuringia,Scleranthus perennis,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baden-Württemberg,Scorzonera austriaca,1,Sun,dry,N-poor to intermediate,NA,permeable,to -28 °C (to Climatic zone 5),30,yellow,Bees (1 spp.),NA,NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Scorzonera hispanica,G,NA,dry,intermediate,NA,permeable to humus,NA,100,yellow,NA,NA,NA,NA,NA,NA,60-100 cm
Bavaria,Scorzonera hispanica,2,NA,dry,intermediate,NA,permeable to humus,NA,100,yellow,NA,NA,NA,NA,NA,NA,60-100 cm
Bremen/Lower Saxony,Scorzonera hispanica,2,NA,dry,intermediate,NA,permeable to humus,NA,100,yellow,NA,NA,NA,NA,NA,NA,60-100 cm
Hesse,Scorzonera hispanica,3,NA,dry,intermediate,NA,permeable to humus,NA,100,yellow,NA,NA,NA,NA,NA,NA,60-100 cm
Rhineland-Palatinate,Scorzonera hispanica,1,NA,dry,intermediate,NA,permeable to humus,NA,100,yellow,NA,NA,NA,NA,NA,NA,60-100 cm
Saxony-Anhalt,Scorzonera hispanica,3,NA,dry,intermediate,NA,permeable to humus,NA,100,yellow,NA,NA,NA,NA,NA,NA,60-100 cm
Thuringia,Scorzonera hispanica,2,NA,dry,intermediate,NA,permeable to humus,NA,100,yellow,NA,NA,NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Scorzonera humilis,3,Sun,wet to moist,intermediate,NA,permeable to humus,NA,40,yellow,Bees (3 spp.),Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Bavaria,Scorzonera humilis,3,Sun,wet to moist,intermediate,NA,permeable to humus,NA,40,yellow,Bees (3 spp.),Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Berlin,Scorzonera humilis,2,Sun,wet to moist,intermediate,NA,permeable to humus,NA,40,yellow,Bees (3 spp.),Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Brandenburg,Scorzonera humilis,2,Sun,wet to moist,intermediate,NA,permeable to humus,NA,40,yellow,Bees (3 spp.),Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Bremen/Lower Saxony,Scorzonera humilis,2,Sun,wet to moist,intermediate,NA,permeable to humus,NA,40,yellow,Bees (3 spp.),Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Hamburg,Scorzonera humilis,1,Sun,wet to moist,intermediate,NA,permeable to humus,NA,40,yellow,Bees (3 spp.),Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Hesse,Scorzonera humilis,1,Sun,wet to moist,intermediate,NA,permeable to humus,NA,40,yellow,Bees (3 spp.),Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Mecklenburg-Western Pomerania,Scorzonera humilis,1,Sun,wet to moist,intermediate,NA,permeable to humus,NA,40,yellow,Bees (3 spp.),Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
North Rhine-Westphalia,Scorzonera humilis,1,Sun,wet to moist,intermediate,NA,permeable to humus,NA,40,yellow,Bees (3 spp.),Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Rhineland-Palatinate,Scorzonera humilis,1,Sun,wet to moist,intermediate,NA,permeable to humus,NA,40,yellow,Bees (3 spp.),Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Saxony,Scorzonera humilis,1,Sun,wet to moist,intermediate,NA,permeable to humus,NA,40,yellow,Bees (3 spp.),Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Saxony-Anhalt,Scorzonera humilis,1,Sun,wet to moist,intermediate,NA,permeable to humus,NA,40,yellow,Bees (3 spp.),Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Schleswig-Holstein,Scorzonera humilis,1,Sun,wet to moist,intermediate,NA,permeable to humus,NA,40,yellow,Bees (3 spp.),Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Thuringia,Scorzonera humilis,2,Sun,wet to moist,intermediate,NA,permeable to humus,NA,40,yellow,Bees (3 spp.),Butterflies (1 spp.),NA,NA,NA,NA,0-40 cm
Bavaria,Scorzonera purpurea,1,Sun,wet to dry,N-rich,alkaline,permeable,NA,50,pink,NA,NA,NA,NA,NA,NA,40-60 cm
Berlin,Scorzonera purpurea,1,Sun,wet to dry,N-rich,alkaline,permeable,NA,50,pink,NA,NA,NA,NA,NA,NA,40-60 cm
Brandenburg,Scorzonera purpurea,2,Sun,wet to dry,N-rich,alkaline,permeable,NA,50,pink,NA,NA,NA,NA,NA,NA,40-60 cm
Bremen/Lower Saxony,Scorzonera purpurea,0,Sun,wet to dry,N-rich,alkaline,permeable,NA,50,pink,NA,NA,NA,NA,NA,NA,40-60 cm
Hesse,Scorzonera purpurea,0,Sun,wet to dry,N-rich,alkaline,permeable,NA,50,pink,NA,NA,NA,NA,NA,NA,40-60 cm
Mecklenburg-Western Pomerania,Scorzonera purpurea,0,Sun,wet to dry,N-rich,alkaline,permeable,NA,50,pink,NA,NA,NA,NA,NA,NA,40-60 cm
Rhineland-Palatinate,Scorzonera purpurea,1,Sun,wet to dry,N-rich,alkaline,permeable,NA,50,pink,NA,NA,NA,NA,NA,NA,40-60 cm
Saxony-Anhalt,Scorzonera purpurea,1,Sun,wet to dry,N-rich,alkaline,permeable,NA,50,pink,NA,NA,NA,NA,NA,NA,40-60 cm
Thuringia,Scorzonera purpurea,1,Sun,wet to dry,N-rich,alkaline,permeable,NA,50,pink,NA,NA,NA,NA,NA,NA,40-60 cm
Baden-Württemberg,Scrophularia auriculata,0,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,brown,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Hesse,Scrophularia auriculata,0,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,brown,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Rhineland-Palatinate,Scrophularia auriculata,2,Sun to Half-shade,wet to moist,N-rich,NA,loamy,NA,120,brown,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Berlin,Scrophularia umbrosa,2,Sun to Half-shade,wet to moist,N-poor,NA,normal,NA,120,red,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Brandenburg,Scrophularia umbrosa,V,Sun to Half-shade,wet to moist,N-poor,NA,normal,NA,120,red,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Hamburg,Scrophularia umbrosa,3,Sun to Half-shade,wet to moist,N-poor,NA,normal,NA,120,red,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Saxony,Scrophularia umbrosa,V,Sun to Half-shade,wet to moist,N-poor,NA,normal,NA,120,red,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Saxony-Anhalt,Scrophularia umbrosa,V,Sun to Half-shade,wet to moist,N-poor,NA,normal,NA,120,red,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Schleswig-Holstein,Scrophularia umbrosa,V,Sun to Half-shade,wet to moist,N-poor,NA,normal,NA,120,red,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Berlin,Scrophularia vernalis,1,Sun to Half-shade,moist,N-rich,NA,humus,NA,70,green,Bees (1 spp.),NA,NA,NA,NA,NA,60-100 cm
Brandenburg,Scrophularia vernalis,R,Sun to Half-shade,moist,N-rich,NA,humus,NA,70,green,Bees (1 spp.),NA,NA,NA,NA,NA,60-100 cm
Hamburg,Scrophularia vernalis,R,Sun to Half-shade,moist,N-rich,NA,humus,NA,70,green,Bees (1 spp.),NA,NA,NA,NA,NA,60-100 cm
North Rhine-Westphalia,Scrophularia vernalis,1,Sun to Half-shade,moist,N-rich,NA,humus,NA,70,green,Bees (1 spp.),NA,NA,NA,NA,NA,60-100 cm
Schleswig-Holstein,Scrophularia vernalis,1,Sun to Half-shade,moist,N-rich,NA,humus,NA,70,green,Bees (1 spp.),NA,NA,NA,NA,NA,60-100 cm
Mecklenburg-Western Pomerania,Scutellaria altissima,1,Sun to Half-shade,moist to dry,N-rich,NA,permeable to loamy,NA,100,blue,Bees (1 spp.),NA,NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Scutellaria minor,3,Sun to Half-shade,wet to moist,intermediate,NA,permeable to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Bavaria,Scutellaria minor,2,Sun to Half-shade,wet to moist,intermediate,NA,permeable to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Brandenburg,Scutellaria minor,0,Sun to Half-shade,wet to moist,intermediate,NA,permeable to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Bremen/Lower Saxony,Scutellaria minor,2,Sun to Half-shade,wet to moist,intermediate,NA,permeable to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Hesse,Scutellaria minor,3,Sun to Half-shade,wet to moist,intermediate,NA,permeable to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
North Rhine-Westphalia,Scutellaria minor,3,Sun to Half-shade,wet to moist,intermediate,NA,permeable to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Rhineland-Palatinate,Scutellaria minor,3,Sun to Half-shade,wet to moist,intermediate,NA,permeable to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Saxony,Scutellaria minor,1,Sun to Half-shade,wet to moist,intermediate,NA,permeable to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Saxony-Anhalt,Scutellaria minor,1,Sun to Half-shade,wet to moist,intermediate,NA,permeable to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Thuringia,Scutellaria minor,3,Sun to Half-shade,wet to moist,intermediate,NA,permeable to loamy,NA,30,violet,NA,NA,NA,NA,NA,NA,0-40 cm
Thuringia,Sedum album,3,Sun,dry,N-poor,NA,permeable,to -23 °C (to Climatic zone 6),20,white,Bees (2 spp.),Butterflies (13 spp.),NA,8 spp. of mammals,yes,yes,0-40 cm
Baden-Württemberg,Sedum dasyphyllum,3,Sun,dry,N-poor,NA,permeable,to -34 °C (to Climatic zone 4),10,white,NA,NA,NA,NA,NA,yes,0-40 cm
Bavaria,Sedum dasyphyllum,3,Sun,dry,N-poor,NA,permeable,to -34 °C (to Climatic zone 4),10,white,NA,NA,NA,NA,NA,yes,0-40 cm
Hamburg,Sedum dasyphyllum,R,Sun,dry,N-poor,NA,permeable,to -34 °C (to Climatic zone 4),10,white,NA,NA,NA,NA,NA,yes,0-40 cm
Rhineland-Palatinate,Sedum dasyphyllum,2,Sun,dry,N-poor,NA,permeable,to -34 °C (to Climatic zone 4),10,white,NA,NA,NA,NA,NA,yes,0-40 cm
Mecklenburg-Western Pomerania,Sedum maximum,V,Sun,dry,N-poor,NA,permeable,NA,50,white,NA,NA,NA,NA,NA,NA,40-60 cm
Berlin,Sedum rupestre,3,Sun to Half-shade,dry,NA,NA,permeable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandenburg,Sedum rupestre,3,Sun to Half-shade,dry,NA,NA,permeable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bremen/Lower Saxony,Sedum rupestre,V,Sun to Half-shade,dry,NA,NA,permeable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hamburg,Sedum rupestre,2,Sun to Half-shade,dry,NA,NA,permeable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thuringia,Sedum rupestre,V,Sun to Half-shade,dry,NA,NA,permeable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hamburg,Sedum sexangulare,2,Sun,dry,N-poor,NA,permeable,to -23 °C (to Climatic zone 6),10,yellow,Bees,NA,NA,NA,yes,yes,0-40 cm
Schleswig-Holstein,Sedum sexangulare,3,Sun,dry,N-poor,NA,permeable,to -23 °C (to Climatic zone 6),10,yellow,Bees,NA,NA,NA,yes,yes,0-40 cm
Thuringia,Sedum sexangulare,1,Sun,dry,N-poor,NA,permeable,to -23 °C (to Climatic zone 6),10,yellow,Bees,NA,NA,NA,yes,yes,0-40 cm
Mecklenburg-Western Pomerania,Sedum telephium,1,Sun,dry,N-rich,NA,permeable,to -23 °C (to Climatic zone 6),50,rose,NA,NA,NA,NA,NA,"yes, small pots",40-60 cm
Baden-Württemberg,Selinum carvifolia,3,Sun,wet to moist,N-poor,NA,NA,NA,80,white,NA,Butterflies (2 spp.),NA,NA,NA,NA,60-100 cm
Berlin,Selinum carvifolia,2,Sun,wet to moist,N-poor,NA,NA,NA,80,white,NA,Butterflies (2 spp.),NA,NA,NA,NA,60-100 cm
Brandenburg,Selinum carvifolia,3,Sun,wet to moist,N-poor,NA,NA,NA,80,white,NA,Butterflies (2 spp.),NA,NA,NA,NA,60-100 cm
Bremen/Lower Saxony,Selinum carvifolia,3,Sun,wet to moist,N-poor,NA,NA,NA,80,white,NA,Butterflies (2 spp.),NA,NA,NA,NA,60-100 cm
Hamburg,Selinum carvifolia,1,Sun,wet to moist,N-poor,NA,NA,NA,80,white,NA,Butterflies (2 spp.),NA,NA,NA,NA,60-100 cm
Hesse,Selinum carvifolia,3,Sun,wet to moist,N-poor,NA,NA,NA,80,white,NA,Butterflies (2 spp.),NA,NA,NA,NA,60-100 cm
Mecklenburg-Western Pomerania,Selinum carvifolia,3,Sun,wet to moist,N-poor,NA,NA,NA,80,white,NA,Butterflies (2 spp.),NA,NA,NA,NA,60-100 cm
Saarland,Selinum carvifolia,V,Sun,wet to moist,N-poor,NA,NA,NA,80,white,NA,Butterflies (2 spp.),NA,NA,NA,NA,60-100 cm
Saxony,Selinum carvifolia,V,Sun,wet to moist,N-poor,NA,NA,NA,80,white,NA,Butterflies (2 spp.),NA,NA,NA,NA,60-100 cm
Saxony-Anhalt,Selinum carvifolia,3,Sun,wet to moist,N-poor,NA,NA,NA,80,white,NA,Butterflies (2 spp.),NA,NA,NA,NA,60-100 cm
Schleswig-Holstein,Selinum carvifolia,1,Sun,wet to moist,N-poor,NA,NA,NA,80,white,NA,Butterflies (2 spp.),NA,NA,NA,NA,60-100 cm
Thuringia,Selinum carvifolia,2,Sun,wet to moist,N-poor,NA,NA,NA,80,white,NA,Butterflies (2 spp.),NA,NA,NA,NA,60-100 cm
Berlin,Selinum dubium,1,Sun,wet to moist,N-poor,acidic,NA,NA,90,white,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Hamburg,Selinum dubium,1,Sun,wet to moist,N-poor,acidic,NA,NA,90,white,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Hesse,Selinum dubium,2,Sun,wet to moist,N-poor,acidic,NA,NA,90,white,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Saxony,Selinum dubium,1,Sun,wet to moist,N-poor,acidic,NA,NA,90,white,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Saxony-Anhalt,Selinum dubium,V,Sun,wet to moist,N-poor,acidic,NA,NA,90,white,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Schleswig-Holstein,Selinum dubium,1,Sun,wet to moist,N-poor,acidic,NA,NA,90,white,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Sempervivum tectorum,V,Sun,dry,N-poor,NA,permeable,to -34 °C (to Climatic zone 4),30,rose,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,0-40 cm
Saxony,Sempervivum tectorum,V,Sun,dry,N-poor,NA,permeable,to -34 °C (to Climatic zone 4),30,rose,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,0-40 cm
Berlin,Senecio aquaticus,0,Sun,wet to moist,intermediate,NA,humus,NA,60,yellow,NA,Butterflies (6 spp.),NA,NA,NA,NA,40-60 cm
Brandenburg,Senecio aquaticus,G,Sun,wet to moist,intermediate,NA,humus,NA,60,yellow,NA,Butterflies (6 spp.),NA,NA,NA,NA,40-60 cm
Bremen/Lower Saxony,Senecio aquaticus,3,Sun,wet to moist,intermediate,NA,humus,NA,60,yellow,NA,Butterflies (6 spp.),NA,NA,NA,NA,40-60 cm
Hamburg,Senecio aquaticus,2,Sun,wet to moist,intermediate,NA,humus,NA,60,yellow,NA,Butterflies (6 spp.),NA,NA,NA,NA,40-60 cm
Hesse,Senecio aquaticus,3,Sun,wet to moist,intermediate,NA,humus,NA,60,yellow,NA,Butterflies (6 spp.),NA,NA,NA,NA,40-60 cm
Mecklenburg-Western Pomerania,Senecio aquaticus,2,Sun,wet to moist,intermediate,NA,humus,NA,60,yellow,NA,Butterflies (6 spp.),NA,NA,NA,NA,40-60 cm
North Rhine-Westphalia,Senecio aquaticus,2,Sun,wet to moist,intermediate,NA,humus,NA,60,yellow,NA,Butterflies (6 spp.),NA,NA,NA,NA,40-60 cm
Saarland,Senecio aquaticus,V,Sun,wet to moist,intermediate,NA,humus,NA,60,yellow,NA,Butterflies (6 spp.),NA,NA,NA,NA,40-60 cm
Saxony,Senecio aquaticus,3,Sun,wet to moist,intermediate,NA,humus,NA,60,yellow,NA,Butterflies (6 spp.),NA,NA,NA,NA,40-60 cm
Saxony-Anhalt,Senecio aquaticus,3,Sun,wet to moist,intermediate,NA,humus,NA,60,yellow,NA,Butterflies (6 spp.),NA,NA,NA,NA,40-60 cm
Schleswig-Holstein,Senecio aquaticus,2,Sun,wet to moist,intermediate,NA,humus,NA,60,yellow,NA,Butterflies (6 spp.),NA,NA,NA,NA,40-60 cm
Thuringia,Senecio aquaticus,V,Sun,wet to moist,intermediate,NA,humus,NA,60,yellow,NA,Butterflies (6 spp.),NA,NA,NA,NA,40-60 cm
Brandenburg,Senecio erucifolius,2,Sun,dry,N-poor,NA,permeable to loamy,to -34 °C (to Climatic zone 4),120,yellow,Bees,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Saxony-Anhalt,Senecio erucifolius,3,Sun,dry,N-poor,NA,permeable to loamy,to -34 °C (to Climatic zone 4),120,yellow,Bees,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Schleswig-Holstein,Senecio erucifolius,2,Sun,dry,N-poor,NA,permeable to loamy,to -34 °C (to Climatic zone 4),120,yellow,Bees,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Berlin,Senecio ovatus,R,Shade,wet to moist,N-rich,NA,humus,to -23 °C (to Climatic zone 6),150,yellow,NA,Butterflies (22 spp.),NA,NA,NA,NA,100+ cm
Baden-Württemberg,Senecio paludosus,V,Sun to Half-shade,wet,N-rich,NA,loamy,to -17 °C (to Climatic zone 7),200,yellow,NA,NA,NA,NA,NA,NA,100+ cm
Bavaria,Senecio paludosus,3,Sun to Half-shade,wet,N-rich,NA,loamy,to -17 °C (to Climatic zone 7),200,yellow,NA,NA,NA,NA,NA,NA,100+ cm
Berlin,Senecio paludosus,1,Sun to Half-shade,wet,N-rich,NA,loamy,to -17 °C (to Climatic zone 7),200,yellow,NA,NA,NA,NA,NA,NA,100+ cm
Brandenburg,Senecio paludosus,3,Sun to Half-shade,wet,N-rich,NA,loamy,to -17 °C (to Climatic zone 7),200,yellow,NA,NA,NA,NA,NA,NA,100+ cm
Bremen/Lower Saxony,Senecio paludosus,2,Sun to Half-shade,wet,N-rich,NA,loamy,to -17 °C (to Climatic zone 7),200,yellow,NA,NA,NA,NA,NA,NA,100+ cm
Hamburg,Senecio paludosus,2,Sun to Half-shade,wet,N-rich,NA,loamy,to -17 °C (to Climatic zone 7),200,yellow,NA,NA,NA,NA,NA,NA,100+ cm
Hesse,Senecio paludosus,V,Sun to Half-shade,wet,N-rich,NA,loamy,to -17 °C (to Climatic zone 7),200,yellow,NA,NA,NA,NA,NA,NA,100+ cm
Mecklenburg-Western Pomerania,Senecio paludosus,2,Sun to Half-shade,wet,N-rich,NA,loamy,to -17 °C (to Climatic zone 7),200,yellow,NA,NA,NA,NA,NA,NA,100+ cm
Rhineland-Palatinate,Senecio paludosus,3,Sun to Half-shade,wet,N-rich,NA,loamy,to -17 °C (to Climatic zone 7),200,yellow,NA,NA,NA,NA,NA,NA,100+ cm
Thuringia,Senecio paludosus,3,Sun to Half-shade,wet,N-rich,NA,loamy,to -17 °C (to Climatic zone 7),200,yellow,NA,NA,NA,NA,NA,NA,100+ cm
Bavaria,Senecio sarracenicus,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandenburg,Senecio sarracenicus,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
