State,Species,Endangerment,Light,Water,Nutrients,PH-value,Soil,Freezing tolerance,Maximale height,Flower color,Bees,Butterflies,Birds,Mammals,Roof,Balcony,h_binned
Saxony,Koeleria glauca,1,Sun,dry,N-poor,NA,normal,to -34 °C (to Climatic zone 4),30,green,NA,NA,NA,NA,yes,yes,0-40 cm
Saxony-Anhalt,Koeleria glauca,2,Sun,dry,N-poor,NA,normal,to -34 °C (to Climatic zone 4),30,green,NA,NA,NA,NA,yes,yes,0-40 cm
Schleswig-Holstein,Koeleria glauca,2,Sun,dry,N-poor,NA,normal,to -34 °C (to Climatic zone 4),30,green,NA,NA,NA,NA,yes,yes,0-40 cm
Hamburg,Koeleria pyramidata,0,Sun,moist to dry,N-poor,NA,permeable to normal,"bis -45,5 °C (bis Klimazone 2)",90,white,NA,Butterflies (2 spp.),NA,NA,NA,NA,60-100 cm
Mecklenburg-Western Pomerania,Koeleria pyramidata,2,Sun,moist to dry,N-poor,NA,permeable to normal,"bis -45,5 °C (bis Klimazone 2)",90,white,NA,Butterflies (2 spp.),NA,NA,NA,NA,60-100 cm
Saxony,Koeleria pyramidata,3,Sun,moist to dry,N-poor,NA,permeable to normal,"bis -45,5 °C (bis Klimazone 2)",90,white,NA,Butterflies (2 spp.),NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Lactuca perennis,V,Sun to Half-shade,moist to dry,intermediate,alkaline,normal,to -17 °C (to Climatic zone 7),60,purple,Bees (3 spp.),NA,NA,NA,NA,yes,40-60 cm
Bavaria,Lactuca perennis,3,Sun to Half-shade,moist to dry,intermediate,alkaline,normal,to -17 °C (to Climatic zone 7),60,purple,Bees (3 spp.),NA,NA,NA,NA,yes,40-60 cm
Saarland,Lactuca perennis,0,Sun to Half-shade,moist to dry,intermediate,alkaline,normal,to -17 °C (to Climatic zone 7),60,purple,Bees (3 spp.),NA,NA,NA,NA,yes,40-60 cm
Saxony,Lactuca perennis,1,Sun to Half-shade,moist to dry,intermediate,alkaline,normal,to -17 °C (to Climatic zone 7),60,purple,Bees (3 spp.),NA,NA,NA,NA,yes,40-60 cm
Saxony-Anhalt,Lactuca perennis,1,Sun to Half-shade,moist to dry,intermediate,alkaline,normal,to -17 °C (to Climatic zone 7),60,purple,Bees (3 spp.),NA,NA,NA,NA,yes,40-60 cm
Thuringia,Lactuca perennis,2,Sun to Half-shade,moist to dry,intermediate,alkaline,normal,to -17 °C (to Climatic zone 7),60,purple,Bees (3 spp.),NA,NA,NA,NA,yes,40-60 cm
Baden-Württemberg,Lactuca virosa,2,Sun,dry,N-rich,NA,normal,NA,120,yellow,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Bremen/Lower Saxony,Lactuca virosa,3,Sun,dry,N-rich,NA,normal,NA,120,yellow,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
North Rhine-Westphalia,Lactuca virosa,3,Sun,dry,N-rich,NA,normal,NA,120,yellow,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Saxony-Anhalt,Lactuca virosa,3,Sun,dry,N-rich,NA,normal,NA,120,yellow,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Thuringia,Lactuca virosa,2,Sun,dry,N-rich,NA,normal,NA,120,yellow,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Berlin,Lamium maculatum,0,Half-shade to Shade,wet to moist,N-rich,NA,permeable to humus,to -28 °C (to Climatic zone 5),60,pink,Bees (5 spp.),Butterflies (11 spp.),NA,11 spp. of mammals,NA,NA,40-60 cm
Hamburg,Lamium maculatum,2,Half-shade to Shade,wet to moist,N-rich,NA,permeable to humus,to -28 °C (to Climatic zone 5),60,pink,Bees (5 spp.),Butterflies (11 spp.),NA,11 spp. of mammals,NA,NA,40-60 cm
Bavaria,Laser trilobum,2,Sun to Half-shade,wet to moist,intermediate,alkaline,permeable to humus,NA,180,white,Bees (1 spp.),NA,NA,NA,NA,NA,100+ cm
Bremen/Lower Saxony,Laser trilobum,3,Sun to Half-shade,wet to moist,intermediate,alkaline,permeable to humus,NA,180,white,Bees (1 spp.),NA,NA,NA,NA,NA,100+ cm
Hesse,Laser trilobum,R,Sun to Half-shade,wet to moist,intermediate,alkaline,permeable to humus,NA,180,white,Bees (1 spp.),NA,NA,NA,NA,NA,100+ cm
North Rhine-Westphalia,Laser trilobum,R,Sun to Half-shade,wet to moist,intermediate,alkaline,permeable to humus,NA,180,white,Bees (1 spp.),NA,NA,NA,NA,NA,100+ cm
Saarland,Laser trilobum,R,Sun to Half-shade,wet to moist,intermediate,alkaline,permeable to humus,NA,180,white,Bees (1 spp.),NA,NA,NA,NA,NA,100+ cm
Brandenburg,Laserpitium latifolium,0,Sun,dry,N-poor,NA,permeable to humus,NA,150,white,Bees (1 spp.),NA,NA,NA,NA,NA,100+ cm
Bremen/Lower Saxony,Laserpitium latifolium,2,Sun,dry,N-poor,NA,permeable to humus,NA,150,white,Bees (1 spp.),NA,NA,NA,NA,NA,100+ cm
Hesse,Laserpitium latifolium,R,Sun,dry,N-poor,NA,permeable to humus,NA,150,white,Bees (1 spp.),NA,NA,NA,NA,NA,100+ cm
Rhineland-Palatinate,Laserpitium latifolium,G,Sun,dry,N-poor,NA,permeable to humus,NA,150,white,Bees (1 spp.),NA,NA,NA,NA,NA,100+ cm
Saxony,Laserpitium latifolium,0,Sun,dry,N-poor,NA,permeable to humus,NA,150,white,Bees (1 spp.),NA,NA,NA,NA,NA,100+ cm
Saxony-Anhalt,Laserpitium latifolium,3,Sun,dry,N-poor,NA,permeable to humus,NA,150,white,Bees (1 spp.),NA,NA,NA,NA,NA,100+ cm
Thuringia,Laserpitium latifolium,1,Sun,dry,N-poor,NA,permeable to humus,NA,150,white,Bees (1 spp.),NA,NA,NA,NA,NA,100+ cm
Baden-Württemberg,Laserpitium prutenicum,2,Sun to Half-shade,wet to moist,N-poor,NA,permeable,NA,100,yellow,NA,NA,NA,NA,NA,NA,60-100 cm
Bavaria,Laserpitium prutenicum,2,Sun to Half-shade,wet to moist,N-poor,NA,permeable,NA,100,yellow,NA,NA,NA,NA,NA,NA,60-100 cm
Berlin,Laserpitium prutenicum,0,Sun to Half-shade,wet to moist,N-poor,NA,permeable,NA,100,yellow,NA,NA,NA,NA,NA,NA,60-100 cm
Brandenburg,Laserpitium prutenicum,0,Sun to Half-shade,wet to moist,N-poor,NA,permeable,NA,100,yellow,NA,NA,NA,NA,NA,NA,60-100 cm
Bremen/Lower Saxony,Laserpitium prutenicum,0,Sun to Half-shade,wet to moist,N-poor,NA,permeable,NA,100,yellow,NA,NA,NA,NA,NA,NA,60-100 cm
Hesse,Laserpitium prutenicum,0,Sun to Half-shade,wet to moist,N-poor,NA,permeable,NA,100,yellow,NA,NA,NA,NA,NA,NA,60-100 cm
Mecklenburg-Western Pomerania,Laserpitium prutenicum,2,Sun to Half-shade,wet to moist,N-poor,NA,permeable,NA,100,yellow,NA,NA,NA,NA,NA,NA,60-100 cm
Rhineland-Palatinate,Laserpitium prutenicum,0,Sun to Half-shade,wet to moist,N-poor,NA,permeable,NA,100,yellow,NA,NA,NA,NA,NA,NA,60-100 cm
Saxony,Laserpitium prutenicum,1,Sun to Half-shade,wet to moist,N-poor,NA,permeable,NA,100,yellow,NA,NA,NA,NA,NA,NA,60-100 cm
Saxony-Anhalt,Laserpitium prutenicum,1,Sun to Half-shade,wet to moist,N-poor,NA,permeable,NA,100,yellow,NA,NA,NA,NA,NA,NA,60-100 cm
Schleswig-Holstein,Laserpitium prutenicum,0,Sun to Half-shade,wet to moist,N-poor,NA,permeable,NA,100,yellow,NA,NA,NA,NA,NA,NA,60-100 cm
Thuringia,Laserpitium prutenicum,V,Sun to Half-shade,wet to moist,N-poor,NA,permeable,NA,100,yellow,NA,NA,NA,NA,NA,NA,60-100 cm
