"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Sanicula europaea","Wald-Sanikel","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-1618-WaldSanikel_Sanicula_europaea.htm"
"Saponaria ocymoides","Rotes Seifenkraut,Kriechendes Seifenkraut","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2611-Kleines_Seifenkraut_Rotes_S_Saponaria_ocymoides.htm"
"Saponaria ocymoides","Rotes Seifenkraut,Kriechendes Seifenkraut","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2612-WeiAes_Kleines_Seifenkraut_Saponaria_ocymoides_Snow_Tip_Alba.htm"
"Saxifraga aizoides","Fetthennen-Steinbrech","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Saxifraga granulata","Körnchen-Steinbrech","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2614-KnA¶llchenSteinbrech_Saxifraga_granulata.htm"
"Saxifraga granulata","Körnchen-Steinbrech","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-566-KnA¶llchenSteinbrech_Saxifraga_granulata_doppelte_Menge_DA_geben.htm"
"Saxifraga paniculata","Rispen-Steinbrech,Trauben-Steinbrech, Immergrüner Steinbrech","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2616-TraubenSteinbrech_RispenS_Saxifraga_paniculata.htm"
"Scabiosa canescens","Duft-Skabiose","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-43305-Graue_Skabiose_DuftOrchideenSkabiose_Scabiosa_canescens.htm"
"Scabiosa columbaria","Tauben-Skabiose","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2618-TaubenSkabiose_Scabiosa_columbaria.htm"
"Scabiosa ochroleuca","Gelbe Skabiose,Gelbblühendes Krätzkraut","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2620-Gelbe_Skabiose_Scabiosa_ochroleuca.htm"
"Scandix pecten-veneris","Venuskamm,Nadelkerbel","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-1032-GewA¶hnl_Venuskamm_Nadelkerbel_Scandix_pectenveneris_SA.htm"
"Scandix pecten-veneris","Venuskamm,Nadelkerbel","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-39515-GewA¶hnl_Venuskamm_Nadelkerbel_Scandix_pectenveneris_SA.htm"
"Schoenoplectus lacustris","Gewöhnliche Teichbinse,Grüne Teichbins","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-814-Gew_Teichsimse_Seebinse_Schoenoplectus_Scirpus_lacustris.htm"
"Schoenoplectus lacustris","Gewöhnliche Teichbinse,Grüne Teichbins","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-1129-Gew_Teichsimse_Seebinse_Schoenoplectus_Scirpus_lacustris.htm"
"Schoenoplectus tabernaemontani","Salz-Teichbinse,Graue Seebinse","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Schoenus nigricans","Schwarzes Kopfried,Kopfbinse","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Scilla bifolia","Zweiblättriger Blaustern","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-43001-ZweiblA¤ttriger_Blaustern_weiA_Scilla_bifolia_Alba_20_St_zur_Zeit_nicht_lieferbar_Ab_Sept_2022_wieder.htm"
"Scilla bifolia","Zweiblättriger Blaustern","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-567-ZweiblA¤ttr_Blaustern_Scilla_bifolia_Rosea_20_St_zur_Zeit_nicht_lieferbar_Ab_Sept_2022_wieder.htm"
"Scilla bifolia","Zweiblättriger Blaustern","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-568-ZweiblA¤ttr_Blaustern_Scilla_bifolia_20_St_zur_Zeit_nicht_lieferbar_Ab_Sept_2022_wieder.htm"
"Scirpus sylvaticus","Wald-Simse","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-816-WaldSimse_Scirpus_sylvaticus_wuchert.htm"
"Scirpus sylvaticus","Wald-Simse","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-1131-WaldSimse_Scirpus_sylvaticus_wuchert.htm"
"Scleranthus perennis","Ausdauernder Knäuel","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
